Data/Hora,USD -> BRL,EUR -> BRL,BRL -> USD,BRL -> EUR
10/04/2025 23:05:01,5.8189,6.3857,5.8219,6.402
10/04/2025 23:09:38,5.8842,6.6534,5.8872,6.6711
10/04/2025 23:10:07,5.8842,6.6534,5.8872,6.6711
10/04/2025 23:10:44,5.8851,6.6534,5.8881,6.6711
10/04/2025 23:11:20,5.8851,6.6534,5.8881,6.6711
10/04/2025 23:26:29,5.817,6.3816,5.82,6.398
10/04/2025 23:29:16,5.885,6.6534,5.888,6.6711
10/04/2025 23:29:24,5.885,6.6534,5.888,6.6711
